question,answer
根据导引系统的工作是否与外界发生联系可以分为 ( ) )两种。A自主制导B寻的制导C非自主制导,AC
"在非自主制导中, 如果从空间运动体获取制导信息, 可分为哪两种 ( )。A 遥控制导 B 寻的制导 C 地图匹配制导",AB
"根据能量来源位置不同, 寻的制导系统分为哪几类 ( ) ）。 A半主动式B主动式C被动式",ABC
导弹的制导系统主要包括（） ）。A动力系统B导引系统C控制系统D毁伤系统,BC
根据导引系统的工作是否与外界发生联系可以分为 ( ) ）。A自主制导B寻的制导C非自主制导,AC
自主制导主要可以分为哪两类? ( ) ）A遥控制导B方案制导C惯性制导,BC
"在非自主制导中, 如果从空间运动体获取制导信息, 可分为哪两种? ( ) A 遥控制导 B 寻的制导 C 地图匹配制导",AB
"根据能量来源位置不同, 寻的制导系统分为哪几类? ( ) ）A主动式B半主动式C被动式",ABC
下列坐标系属于动坐标系的有 ( ) ）。 A 地面坐标系 B 弹体坐标系 C 弹道坐标系 D 速度坐标系,BCD
影响固体火箭发动机推力的因素包括 ( ) ）。A燃气质量流率B燃气相对弹体的喷出速度C发动机喷口处的截面积D发动机喷口处的燃气流压强,ABCD
"对于大气层内飞行, 采用传统气动力控制方式的导弹, 作用在导弹上的力包括 ( ) ）。 A 发动机推力B气动力C 重力D 脉冲发动力直接侧向力",ABC
"在气动布局和外形参数给定的情况下, 影响俯仰力矩的因素包括 ( ) ）。A马赫数B飞行高度C攻角D俯仰舵偏角",ABCD
"下列关于静稳定性的说法正确的有( ) ）。A重心位于焦点之前,导弹是静稳定的B重心移动到与焦点重合时,导弹是静中立稳定的C重心移动到焦点之后,导弹是静不稳定的D静稳定度可以用焦点与压心的无量纲坐标的差值来表征",ABC
下列关于铰链力矩的说法正确的有 ( ) (2)。A 铰链力矩是空气动力相对舵面转轴的力矩 B 铰链力矩大小影响舵机所需要的功率 C 铰链力矩大小与舵面的类型和形状无关 D 铰链力矩大小与马赫数、气流角、舵偏角有关,ABD
刚体瞬时姿态的三个自由度是指 ( ) ）。 A 俯仰角B 偏航角C 滚转角D 侧滑角,ABC
"在应用牛顿第二定律和动量矩定理建立导弹运动模型时, 通常采用的研究 # 方法包括（ )。A 引入固化原理 B 忽略弹性变形 C 忽略气动弹性 D 长短周期分离法",ABC
建立角度关系方程可以采用 ( ) ）。A方向余弦法B四元数法C球面三角法D坐标变换法,ABCD
"对于采用气动控制的导弹, 操作机构包括 ( ) ）。A升降舵B方向舵C副翼D推力调节装置",ABCD
"下列关于纵向运动与侧向运动的说法正确的有 ( ) ）。A 纵向运动和侧向运动是相互影响的 B 纵向运动可以独立存在 C 在侧向运动中,所有纵向运动参数均为零 D 侧向运动的求解需要已知纵向运动参数",ABD
导弹质心运动的假设条件有 ( ) ) 。 A 导弹绕弹体轴的转动是无惯性 B 控制系统理想工作 C 忽略随机干扰对法 向力的影响D固化原理,ABC
下列关于过载的说法正确的有 ( ) )。A 过载是作用在导弹上的控制力与重力的比值 B 过载是矢量 C 过载的方向与控制力的方向一致 D 过载的大小表示相对重力的倍数,ABCD
"在气动布局和外形参数给定的情况下, 影响偏航力矩的因素包括 ( ) ）。A马赫数B飞行高度C侧滑角D方位舵偏角",ABCD
刚体瞬时姿态的三个自由度是指（） ）。A俯仰角B偏航角C滚转角D侧滑角,ABC
提高导弹静稳定性的方法有 ( ) )。A 改变弹翼外形B 改变弹翼面积C 调整重心位置D 改进控制方法,ABC
"下列关于瞬时平衡假设, 正确的有 ( ) ）。A假设转动惯量等于零B忽略操纵机构偏转后导弹绕弹体轴旋转的过渡过程C假设控制系统理想工作D忽略控制系统工作的过渡过程和操纵机构偏转的过渡过程",ABCD
下列关于过载的说法正确的有 ( ) ）。A 过载是作用在导弹上的控制力与重力的比值 B 过载是标量 C 过载的方向与控制力的方向一致 D 过载的大小表示相对质量的倍数,AC
以下属于追踪法特点的是 ( ) A 绕后攻击 B 弹道弯曲 C 应用广泛,AB
以下可以看作比例导引法特殊形式的是 ( ) ）A追踪法B平行接近法C三点法,AB
比例导引法的命中点过载与下列 ( ) )因素相关。 A 目标机动 B 导弹速度 C 目标速度 D 目标机动,ABCD
"采用比例导引法拦截目标时, 比例系数 $K$ 要考虑以下 ( ) (2)等因素。A 视线角速率收敛限制 B 可用过载限制 C 制导系统要求",ABC
"采用三点法引导时, 考虑到命中点过载, 弹道目标容易受到以下 ( ) 因素的影响。A 目标速度变化 B 目标机动 C 导弹速度",ABC
三点法的弹道特点是 ( ) ）。A弹道比较弯曲B动态误差难以补偿C弹道下沉现象,ABC
以下属于追踪法特点的是 ( ) )。 A 绕后攻击 B 弹道弯曲 C 应用广泛,AB
以下可以看作比例导引法特殊形式的是 ( ) ）。A追踪法B三点法C平行接近法,AC
比例导引法的命中点过载与 ( ) )等因素相关。 A 目标机动 B 导弹速度 C 目标速度 D 目标机动,ABCD
